customer_id,signup_date,gender,age,city,state,acquisition_channel,customer_type,income_band
CUST000115,2024-12-04,Male,34,Chennai,Tamil Nadu,Referral,Returning,Upper-Middle
CUST000116,2025-01-15,Male,34,Hyderabad,Telangana,Google Ads,New,High
CUST000117,2024-01-25,Male,41,Jaipur,Rajasthan,Affiliate,Loyal,Middle
CUST000118,2024-04-03,Female,29,Chandigarh,Chandigarh,Email,Returning,Upper-Middle
CUST000119,2024-06-13,Non-binary,37,Nagpur,Maharashtra,Google Ads,Returning,Upper-Middle
CUST000120,2024-03-17,Male,30,Hyderabad,Telangana,Affiliate,Returning,Upper-Middle
CUST000121,2024-10-21,Female,39,Surat,Gujarat,Instagram,Loyal,Low
CUST000122,2025-03-23,Female,38,Nagpur,Maharashtra,Google Ads,New,Lower-Middle
CUST000123,2025-03-13,Male,43,Lucknow,Uttar Pradesh,Google Ads,Returning,Lower-Middle
CUST000124,2024-11-11,Female,22,Surat,Gujarat,Organic Search,New,Upper-Middle
CUST000125,2025-07-26,Female,33,Ahmedabad,Gujarat,Email,Returning,Middle
CUST000126,2025-01-13,Female,37,Indore,Madhya Pradesh,Organic Search,Returning,Lower-Middle
CUST000127,2024-02-22,Female,52,Indore,Madhya Pradesh,Instagram,Loyal,Lower-Middle
CUST000128,2025-05-26,Male,54,Kochi,Kerala,Referral,New,Middle
CUST000129,2025-01-19,Female,20,Jaipur,Rajasthan,Organic Search,Loyal,Upper-Middle
CUST000130,2025-02-28,Female,28,Kolkata,West Bengal,Instagram,New,Middle
CUST000131,2025-01-13,Male,18,Bengaluru,Karnataka,Google Ads,Returning,Lower-Middle
CUST000132,2025-01-05,Female,56,Delhi,Delhi,Affiliate,New,Lower-Middle
CUST000133,2024-03-01,Female,37,Lucknow,Uttar Pradesh,Organic Search,Returning,Upper-Middle
CUST000134,2025-01-09,Female,40,Delhi,Delhi,Organic Search,New,Upper-Middle
CUST000135,2025-06-15,Female,31,Mumbai,Maharashtra,Affiliate,Returning,Upper-Middle
CUST000136,2024-07-22,Male,34,Indore,Madhya Pradesh,Instagram,Loyal,Middle
CUST000137,2025-02-07,Male,45,Hyderabad,Telangana,Affiliate,New,Upper-Middle
CUST000138,2024-01-21,Male,24,Surat,Gujarat,Instagram,Returning,Middle
CUST000139,2024-08-20,Female,23,Jaipur,Rajasthan,Instagram,New,Lower-Middle
CUST000140,2024-10-19,Female,32,Chandigarh,Chandigarh,Google Ads,Returning,Lower-Middle
CUST000141,2025-10-19,Female,34,Kochi,Kerala,Organic Search,Loyal,Middle
CUST000142,2024-05-23,Male,40,Chennai,Tamil Nadu,Google Ads,Returning,Low
CUST000143,2024-07-04,Non-binary,34,Jaipur,Rajasthan,Organic Search,Returning,Low
CUST000144,2024-09-30,Non-binary,26,Bengaluru,Karnataka,Organic Search,Returning,Low
CUST000145,2025-10-26,Female,30,Bengaluru,Karnataka,Organic Search,Loyal,Lower-Middle
CUST000146,2025-07-24,Female,36,Jaipur,Rajasthan,Instagram,New,Middle
CUST000147,2024-01-24,Male,41,Chennai,Tamil Nadu,Email,New,Upper-Middle
CUST000148,2024-06-05,Male,44,Chennai,Tamil Nadu,Instagram,New,Lower-Middle
CUST000149,2025-07-03,Male,31,Kolkata,West Bengal,Google Ads,New,Middle
CUST000150,2024-02-09,Male,27,Bengaluru,Karnataka,Email,Returning,Upper-Middle
CUST000151,2025-07-26,Male,25,Chandigarh,Chandigarh,Google Ads,Loyal,Upper-Middle
CUST000152,2024-07-07,Female,46,Jaipur,Rajasthan,Google Ads,Returning,High
CUST000153,2025-09-05,Male,30,Chandigarh,Chandigarh,Google Ads,New,Middle
CUST000154,2024-07-15,Male,26,Nagpur,Maharashtra,Organic Search,Returning,Upper-Middle
CUST000155,2024-10-17,Male,36,Lucknow,Uttar Pradesh,Affiliate,New,Middle
CUST000156,2025-03-18,Female,50,Mumbai,Maharashtra,Google Ads,Loyal,Middle
CUST000157,2024-03-25,Female,25,Delhi,Delhi,Organic Search,Loyal,Middle
CUST000158,2025-01-07,Male,40,Chennai,Tamil Nadu,Google Ads,New,Middle
CUST000159,2024-12-03,Female,29,Pune,Maharashtra,Organic Search,New,Middle
CUST000160,2025-06-08,Non-binary,35,Pune,Maharashtra,Email,Returning,Middle
CUST000161,2025-10-28,Female,42,Bengaluru,Karnataka,Organic Search,New,Middle
CUST000162,2025-03-20,Female,46,Hyderabad,Telangana,Google Ads,Loyal,Middle
CUST000163,2024-09-30,Female,29,Jaipur,Rajasthan,Organic Search,Loyal,Lower-Middle
CUST000164,2024-09-28,Non-binary,42,Kochi,Kerala,Organic Search,Returning,Middle
CUST000165,2024-10-06,Male,36,Mumbai,Maharashtra,Affiliate,New,Upper-Middle
CUST000166,2025-06-28,Female,38,Chennai,Tamil Nadu,Referral,Loyal,Upper-Middle
CUST000167,2024-08-02,Male,46,Bengaluru,Karnataka,Organic Search,Loyal,High
CUST000168,2024-04-21,Male,27,Delhi,Delhi,Instagram,Loyal,Middle
CUST000169,2024-08-11,Female,42,Chandigarh,Chandigarh,Google Ads,New,Lower-Middle
CUST000170,2024-01-16,Female,36,Chandigarh,Chandigarh,Organic Search,Returning,Lower-Middle
CUST000171,2024-03-12,Female,46,Chandigarh,Chandigarh,Instagram,Loyal,Upper-Middle
CUST000172,2024-03-01,Female,38,Kolkata,West Bengal,Affiliate,Loyal,Low
CUST000173,2025-05-31,Female,32,Chennai,Tamil Nadu,Affiliate,New,Middle
CUST000174,2025-04-28,Female,43,Delhi,Delhi,Instagram,New,Upper-Middle
CUST000175,2025-04-11,Female,28,Nagpur,Maharashtra,Affiliate,Returning,Middle
CUST000176,2024-11-04,Male,30,Delhi,Delhi,Instagram,New,Lower-Middle
CUST000177,2025-04-24,Male,26,Delhi,Delhi,Google Ads,Returning,Upper-Middle
CUST000178,2024-04-17,Male,28,Pune,Maharashtra,Referral,Returning,Lower-Middle
CUST000179,2025-08-25,Female,18,Chennai,Tamil Nadu,Email,New,Middle
CUST000180,2024-12-01,Female,29,Kochi,Kerala,Organic Search,Returning,Low
CUST000181,2025-09-19,Female,33,Jaipur,Rajasthan,Organic Search,Loyal,Lower-Middle
CUST000182,2024-04-11,Male,42,Indore,Madhya Pradesh,Instagram,New,Middle
CUST000183,2024-11-28,Female,25,Chandigarh,Chandigarh,Instagram,Returning,High
CUST000184,2025-04-10,Female,29,Kochi,Kerala,Affiliate,New,Lower-Middle
CUST000185,2024-11-27,Female,32,Hyderabad,Telangana,Instagram,Loyal,Lower-Middle
CUST000186,2024-10-25,Male,42,Surat,Gujarat,Affiliate,New,Upper-Middle
CUST000187,2024-04-21,Female,36,Mumbai,Maharashtra,Organic Search,Loyal,Upper-Middle
CUST000188,2024-09-11,Female,38,Indore,Madhya Pradesh,Email,Returning,Lower-Middle
CUST000189,2024-06-08,Female,43,Pune,Maharashtra,Google Ads,Returning,Middle
CUST000190,2024-07-20,Male,39,Chennai,Tamil Nadu,Referral,Returning,Middle
CUST000191,2025-04-02,Male,28,Mumbai,Maharashtra,Instagram,Loyal,Middle
CUST000192,2025-02-25,Male,51,Chennai,Tamil Nadu,Organic Search,Loyal,Lower-Middle
CUST000193,2025-02-10,Female,18,Hyderabad,Telangana,Organic Search,Returning,Middle
CUST000194,2024-08-30,Female,43,Chennai,Tamil Nadu,Organic Search,Loyal,Middle
CUST000195,2025-10-04,Female,38,Ahmedabad,Gujarat,Referral,New,High
CUST000196,2024-02-28,Female,46,Pune,Maharashtra,Instagram,Returning,Lower-Middle
CUST000197,2024-08-17,Male,32,Mumbai,Maharashtra,Instagram,Loyal,Lower-Middle
CUST000198,2024-03-19,Male,29,Nagpur,Maharashtra,Referral,Loyal,Lower-Middle
CUST000199,2024-08-14,Female,23,Pune,Maharashtra,Instagram,Loyal,Lower-Middle
CUST000200,2025-10-05,Female,23,Nagpur,Maharashtra,Email,New,Lower-Middle
CUST000201,2024-09-02,Female,32,Chennai,Tamil Nadu,Instagram,Loyal,Lower-Middle
CUST000202,2025-08-30,Female,26,Chandigarh,Chandigarh,Google Ads,Returning,Middle
CUST000203,2024-11-27,Non-binary,27,Surat,Gujarat,Organic Search,Loyal,Middle
CUST000204,2025-04-13,Female,23,Jaipur,Rajasthan,Organic Search,New,Upper-Middle
CUST000205,2024-11-02,Female,44,Lucknow,Uttar Pradesh,Email,Loyal,Middle
CUST000206,2024-06-26,Male,27,Chandigarh,Chandigarh,Instagram,New,Lower-Middle
CUST000207,2025-05-26,Male,38,Kolkata,West Bengal,Google Ads,New,Lower-Middle
CUST000208,2025-10-10,Female,33,Delhi,Delhi,Organic Search,Loyal,Upper-Middle
CUST000209,2024-06-25,Male,37,Bengaluru,Karnataka,Instagram,New,Upper-Middle
CUST000210,2025-06-04,Male,31,Kochi,Kerala,Email,Loyal,Upper-Middle
CUST000211,2024-06-23,Male,42,Lucknow,Uttar Pradesh,Referral,Loyal,Upper-Middle
CUST000212,2025-04-24,Female,40,Ahmedabad,Gujarat,Organic Search,New,High
CUST000213,2025-06-11,Male,46,Jaipur,Rajasthan,Organic Search,Returning,Lower-Middle
CUST000214,2024-10-27,Female,27,Chennai,Tamil Nadu,Referral,New,Low
CUST000215,2025-05-07,Female,26,Ahmedabad,Gujarat,Instagram,Returning,Middle
CUST000216,2024-07-01,Female,30,Jaipur,Rajasthan,Organic Search,Loyal,Lower-Middle
CUST000217,2024-02-23,Male,35,Pune,Maharashtra,Referral,Returning,Upper-Middle
CUST000218,2024-03-05,Female,39,Jaipur,Rajasthan,Instagram,New,Lower-Middle
CUST000219,2024-10-26,Female,28,Mumbai,Maharashtra,Organic Search,Returning,Middle
CUST000220,2025-08-26,Male,36,Surat,Gujarat,Organic Search,Loyal,Upper-Middle
CUST000221,2024-03-26,Female,32,Ahmedabad,Gujarat,Referral,New,Middle
CUST000222,2024-10-31,Male,31,Jaipur,Rajasthan,Instagram,Loyal,High
CUST000223,2025-04-15,Female,34,Bengaluru,Karnataka,Google Ads,New,Upper-Middle
CUST000224,2024-05-15,Female,49,Surat,Gujarat,Instagram,New,Upper-Middle
CUST000225,2025-04-27,Female,42,Surat,Gujarat,Google Ads,Loyal,Lower-Middle
CUST000226,2024-07-23,Female,44,Kochi,Kerala,Affiliate,Returning,Low
CUST000227,2025-06-24,Male,38,Lucknow,Uttar Pradesh,Organic Search,Returning,Upper-Middle
CUST000228,2025-01-22,Female,52,Lucknow,Uttar Pradesh,Organic Search,Returning,Upper-Middle
CUST000229,2024-12-31,Female,43,Hyderabad,Telangana,Google Ads,Loyal,Low
CUST000230,2024-04-28,Male,20,Bengaluru,Karnataka,Organic Search,Loyal,Upper-Middle
CUST000231,2024-11-05,Female,41,Bengaluru,Karnataka,Google Ads,Returning,Lower-Middle
CUST000232,2025-07-27,Female,37,Pune,Maharashtra,Organic Search,Loyal,Upper-Middle
CUST000233,2024-01-14,Male,40,Kolkata,West Bengal,Affiliate,New,Lower-Middle
CUST000234,2025-05-22,Female,19,Surat,Gujarat,Email,New,Middle
CUST000235,2024-11-25,Male,19,Chandigarh,Chandigarh,Referral,New,Low
CUST000236,2025-04-26,Male,33,Delhi,Delhi,Referral,Returning,Middle
CUST000237,2025-03-19,Male,18,Kolkata,West Bengal,Google Ads,Returning,Low
CUST000238,2024-10-16,Female,41,Jaipur,Rajasthan,Affiliate,Returning,Middle
CUST000239,2024-07-25,Male,35,Indore,Madhya Pradesh,Referral,Returning,Middle
CUST000240,2025-02-23,Male,53,Delhi,Delhi,Affiliate,Returning,Lower-Middle
CUST000241,2024-04-03,Female,38,Bengaluru,Karnataka,Google Ads,Returning,Middle
CUST000242,2025-01-25,Female,41,Hyderabad,Telangana,Referral,Returning,Lower-Middle
CUST000243,2024-03-04,Female,40,Delhi,Delhi,Organic Search,Returning,Lower-Middle
CUST000244,2025-03-10,Male,35,Mumbai,Maharashtra,Google Ads,Returning,Upper-Middle
CUST000245,2025-02-24,Male,35,Pune,Maharashtra,Email,Loyal,Lower-Middle
CUST000246,2024-02-26,Female,33,Ahmedabad,Gujarat,Google Ads,New,Middle
CUST000247,2025-05-21,Male,18,Mumbai,Maharashtra,Affiliate,New,Upper-Middle
CUST000248,2024-10-05,Male,45,Lucknow,Uttar Pradesh,Instagram,Loyal,Middle
CUST000249,2025-06-10,Non-binary,45,Kochi,Kerala,Referral,New,Middle
CUST000250,2024-01-28,Male,43,Surat,Gujarat,Organic Search,Returning,Lower-Middle
CUST000251,2024-04-30,Male,35,Pune,Maharashtra,Organic Search,New,Upper-Middle
CUST000252,2024-11-26,Female,33,Chandigarh,Chandigarh,Organic Search,Loyal,Middle
CUST000253,2024-05-05,Male,23,Indore,Madhya Pradesh,Affiliate,New,Upper-Middle
CUST000254,2024-08-08,Female,21,Lucknow,Uttar Pradesh,Email,Loyal,Middle
CUST000255,2025-03-17,Male,28,Delhi,Delhi,Organic Search,Returning,Middle
CUST000256,2024-04-06,Male,36,Chennai,Tamil Nadu,Instagram,Returning,Middle
CUST000257,2025-03-29,Male,38,Indore,Madhya Pradesh,Google Ads,New,Upper-Middle
CUST000258,2024-03-10,Male,29,Jaipur,Rajasthan,Email,New,Low
CUST000259,2024-04-27,Female,21,Indore,Madhya Pradesh,Email,Loyal,Upper-Middle
CUST000260,2025-01-28,Female,27,Kochi,Kerala,Organic Search,Loyal,High
CUST000261,2025-06-14,Female,33,Mumbai,Maharashtra,Email,Returning,Lower-Middle
CUST000262,2024-04-24,Male,18,Bengaluru,Karnataka,Organic Search,New,Middle
CUST000263,2024-07-19,Non-binary,36,Surat,Gujarat,Instagram,Returning,Middle
CUST000264,2025-09-10,Female,50,Lucknow,Uttar Pradesh,Google Ads,New,Lower-Middle
CUST000265,2025-10-24,Male,26,Ahmedabad,Gujarat,Referral,New,Lower-Middle
CUST000266,2025-01-23,Male,55,Ahmedabad,Gujarat,Referral,New,Upper-Middle
CUST000267,2024-10-26,Male,27,Ahmedabad,Gujarat,Organic Search,New,Lower-Middle
CUST000268,2024-08-20,Male,32,Kolkata,West Bengal,Google Ads,Returning,Lower-Middle
CUST000269,2025-02-13,Female,39,Chandigarh,Chandigarh,Email,Returning,Middle
CUST000270,2025-01-30,Male,34,Kochi,Kerala,Email,Loyal,High
CUST000271,2024-07-16,Non-binary,18,Jaipur,Rajasthan,Organic Search,Returning,Middle
CUST000272,2024-01-16,Male,37,Chandigarh,Chandigarh,Organic Search,Returning,Lower-Middle
CUST000273,2024-04-11,Male,35,Pune,Maharashtra,Organic Search,New,Middle
CUST000274,2025-10-03,Non-binary,31,Kochi,Kerala,Instagram,Returning,Middle
CUST000275,2024-10-06,Female,35,Delhi,Delhi,Organic Search,Loyal,Upper-Middle
CUST000276,2024-11-18,Male,38,Mumbai,Maharashtra,Instagram,Loyal,Low
CUST000277,2024-11-08,Male,25,Nagpur,Maharashtra,Organic Search,Returning,Low
CUST000278,2025-06-07,Female,39,Indore,Madhya Pradesh,Instagram,Returning,Lower-Middle
CUST000279,2024-02-13,Female,28,Kolkata,West Bengal,Organic Search,Returning,Lower-Middle
CUST000280,2024-02-25,Female,49,Bengaluru,Karnataka,Organic Search,New,Upper-Middle
CUST000281,2024-07-03,Female,44,Hyderabad,Telangana,Google Ads,Loyal,Middle
CUST000282,2024-11-21,Female,24,Kolkata,West Bengal,Email,Loyal,Middle
CUST000283,2025-03-24,Female,46,Surat,Gujarat,Organic Search,Returning,Upper-Middle
CUST000284,2024-11-24,Female,38,Chandigarh,Chandigarh,Instagram,New,Middle
CUST000285,2024-10-22,Female,39,Nagpur,Maharashtra,Google Ads,Returning,Lower-Middle
CUST000286,2025-09-19,Male,32,Mumbai,Maharashtra,Email,New,Middle
CUST000287,2024-04-17,Female,31,Pune,Maharashtra,Instagram,Loyal,Lower-Middle
CUST000288,2025-01-17,Male,31,Jaipur,Rajasthan,Email,New,Low
CUST000289,2024-12-28,Female,24,Ahmedabad,Gujarat,Organic Search,Returning,Middle
CUST000290,2024-11-12,Male,18,Hyderabad,Telangana,Referral,Returning,Low
CUST000291,2025-06-24,Female,28,Kolkata,West Bengal,Google Ads,Returning,Middle
CUST000292,2024-06-27,Male,28,Chandigarh,Chandigarh,Referral,Returning,Middle
CUST000293,2025-09-30,Female,23,Lucknow,Uttar Pradesh,Organic Search,Returning,Middle
CUST000294,2024-08-09,Male,40,Delhi,Delhi,Referral,Loyal,Middle
CUST000295,2024-12-30,Female,36,Delhi,Delhi,Organic Search,Returning,Upper-Middle
CUST000296,2024-12-14,Male,28,Surat,Gujarat,Instagram,New,Middle
CUST000297,2024-10-20,Female,31,Chandigarh,Chandigarh,Instagram,New,Middle
CUST000298,2024-07-09,Female,36,Ahmedabad,Gujarat,Google Ads,Returning,Low
CUST000299,2024-01-15,Male,27,Lucknow,Uttar Pradesh,Referral,Returning,Middle
CUST000300,2024-08-31,Female,18,Lucknow,Uttar Pradesh,Referral,Returning,Middle
CUST000301,2025-07-06,Female,46,Indore,Madhya Pradesh,Google Ads,New,Middle
CUST000302,2024-01-07,Female,33,Chennai,Tamil Nadu,Referral,Loyal,Middle
CUST000303,2025-08-22,Female,37,Hyderabad,Telangana,Google Ads,Loyal,Upper-Middle
CUST000304,2024-12-29,Male,36,Pune,Maharashtra,Google Ads,Loyal,Middle
CUST000305,2024-04-03,Female,20,Jaipur,Rajasthan,Instagram,Loyal,Low
CUST000306,2024-07-21,Female,27,Jaipur,Rajasthan,Affiliate,Loyal,Lower-Middle
CUST000307,2025-01-05,Female,34,Jaipur,Rajasthan,Instagram,New,Middle
