ticket_id,customer_id,ticket_date,issue_type,resolution_time_hours,satisfaction_score,resolved
TICK000035,CUST025257,2024-08-31,Product Information,11.1,3.7,No
TICK000036,CUST010742,2025-06-22,Delivery Delay,18.4,5.0,Yes
TICK000037,CUST004478,2025-04-10,Account Access,13.5,2.7,Yes
TICK000038,CUST011167,2024-04-15,Delivery Delay,18.9,3.5,Yes
TICK000039,CUST041591,2025-09-27,Cancellation,19.0,1.3,Yes
TICK000040,CUST002878,2024-12-09,Product Quality,61.7,3.9,Yes
TICK000041,CUST017361,2024-10-26,Delivery Delay,29.1,3.9,Yes
TICK000042,CUST046977,2024-09-09,Product Quality,28.1,2.9,Yes
TICK000043,CUST036250,2024-07-02,Payment Issue,14.8,3.6,Yes
TICK000044,CUST026000,2025-08-12,Account Access,19.5,4.9,Yes
TICK000045,CUST010806,2025-04-28,Product Quality,18.3,3.7,Yes
TICK000046,CUST022092,2025-06-10,Account Access,23.0,3.5,Yes
TICK000047,CUST031584,2024-05-10,Product Information,30.8,3.1,Yes
TICK000048,CUST049836,2024-05-13,Account Access,7.4,3.2,Yes
TICK000049,CUST009237,2025-04-06,Account Access,11.5,4.0,Yes
TICK000050,CUST006558,2024-08-04,Delivery Delay,28.5,3.7,Yes
TICK000051,CUST000735,2024-06-23,Payment Issue,12.5,3.5,Yes
TICK000052,CUST038390,2024-01-25,Delivery Delay,19.4,3.2,Yes
TICK000053,CUST032219,2025-06-10,Product Information,8.7,3.3,Yes
TICK000054,CUST010981,2025-01-03,Product Quality,30.0,4.6,Yes
TICK000055,CUST011714,2024-05-04,Cancellation,25.6,4.8,Yes
TICK000056,CUST007710,2025-06-20,Product Quality,24.9,4.1,Yes
TICK000057,CUST028095,2024-03-21,Account Access,9.7,4.5,Yes
TICK000058,CUST021992,2025-01-15,Product Information,22.7,2.9,Yes
TICK000059,CUST021589,2025-07-09,Product Quality,7.7,4.2,Yes
TICK000060,CUST038656,2024-09-01,Product Information,18.4,3.7,Yes
TICK000061,CUST022763,2025-10-31,Product Information,14.7,3.8,Yes
TICK000062,CUST015560,2025-03-15,Account Access,18.9,4.2,Yes
TICK000063,CUST019746,2024-12-27,Cancellation,34.0,5.0,Yes
TICK000064,CUST020609,2025-08-09,Refund,25.4,3.9,No
TICK000065,CUST024139,2025-12-24,Payment Issue,18.1,3.0,Yes
TICK000066,CUST042137,2024-02-11,Delivery Delay,62.8,5.0,Yes
TICK000067,CUST031054,2025-01-14,Cancellation,19.8,2.9,Yes
TICK000068,CUST008109,2025-03-30,Product Quality,16.8,3.9,Yes
TICK000069,CUST013219,2025-11-12,Account Access,8.7,3.6,Yes
TICK000070,CUST005759,2024-03-24,Delivery Delay,16.5,4.2,Yes
TICK000071,CUST014238,2025-06-11,Refund,36.9,2.7,Yes
TICK000072,CUST040895,2025-12-24,Account Access,20.5,4.3,Yes
TICK000073,CUST005652,2025-04-18,Account Access,17.5,3.8,Yes
TICK000074,CUST005866,2024-11-26,Refund,31.4,3.6,Yes
TICK000075,CUST010421,2025-02-26,Delivery Delay,29.6,4.0,Yes
TICK000076,CUST049233,2025-03-13,Account Access,13.8,4.5,Yes
TICK000077,CUST022659,2024-04-30,Product Quality,21.8,3.0,Yes
TICK000078,CUST040190,2024-11-15,Product Quality,9.4,2.8,Yes
TICK000079,CUST002954,2024-05-17,Product Quality,24.9,3.2,Yes
TICK000080,CUST017963,2024-03-06,Payment Issue,12.8,4.5,No
TICK000081,CUST025924,2025-11-26,Refund,10.8,2.7,Yes
TICK000082,CUST031494,2024-01-24,Product Quality,32.1,2.5,Yes
TICK000083,CUST012403,2024-04-19,Cancellation,11.5,3.6,Yes
TICK000084,CUST038702,2025-04-22,Product Quality,23.6,4.3,Yes
TICK000085,CUST031005,2025-07-17,Account Access,22.5,5.0,Yes
TICK000086,CUST011047,2024-04-11,Product Quality,13.5,4.0,Yes
TICK000087,CUST000607,2024-05-09,Product Information,14.0,3.8,Yes
TICK000088,CUST001768,2024-08-29,Product Information,10.2,3.2,Yes
TICK000089,CUST012417,2025-10-29,Delivery Delay,19.1,4.0,No
TICK000090,CUST046535,2024-04-29,Payment Issue,12.8,4.3,Yes
TICK000091,CUST030569,2024-01-19,Delivery Delay,9.5,3.2,Yes
TICK000092,CUST026858,2024-01-24,Product Quality,7.6,5.0,Yes
TICK000093,CUST042048,2025-09-28,Delivery Delay,10.0,3.5,No
TICK000094,CUST018247,2025-06-06,Payment Issue,36.2,3.5,Yes
TICK000095,CUST017534,2024-08-19,Delivery Delay,47.8,5.0,Yes
TICK000096,CUST013482,2024-01-10,Product Quality,13.6,4.1,Yes
TICK000097,CUST024315,2025-11-13,Delivery Delay,6.4,3.3,Yes
TICK000098,CUST027595,2024-12-06,Product Quality,46.9,3.2,Yes
TICK000099,CUST024443,2025-02-08,Account Access,31.7,3.1,Yes
TICK000100,CUST031074,2025-03-20,Payment Issue,14.1,4.0,Yes
TICK000101,CUST014258,2025-06-18,Product Information,22.6,2.3,Yes
TICK000102,CUST014544,2024-08-27,Payment Issue,17.7,2.9,Yes
TICK000103,CUST009124,2025-01-03,Account Access,86.9,4.3,Yes
TICK000104,CUST022492,2025-03-31,Product Quality,21.2,5.0,Yes
TICK000105,CUST000620,2024-10-17,Delivery Delay,16.8,4.3,Yes
TICK000106,CUST016173,2024-04-19,Account Access,12.2,2.8,Yes
TICK000107,CUST041705,2024-11-24,Payment Issue,31.8,3.1,Yes
TICK000108,CUST001243,2025-05-28,Product Information,18.2,4.0,Yes
TICK000109,CUST047286,2024-01-24,Payment Issue,31.7,5.0,Yes
TICK000110,CUST035386,2025-06-19,Product Quality,15.5,4.5,Yes
TICK000111,CUST049304,2025-08-04,Product Quality,23.6,5.0,Yes
TICK000112,CUST025012,2024-04-16,Payment Issue,7.0,3.4,Yes
TICK000113,CUST005664,2025-05-22,Product Quality,5.0,2.6,Yes
TICK000114,CUST019381,2025-06-03,Product Quality,31.4,4.6,Yes
TICK000115,CUST044259,2025-03-23,Cancellation,18.1,3.6,Yes
TICK000116,CUST047231,2024-07-29,Cancellation,18.5,2.4,Yes
TICK000117,CUST047038,2025-01-16,Cancellation,38.3,4.2,No
TICK000118,CUST017465,2024-01-23,Product Quality,20.3,3.7,Yes
TICK000119,CUST025186,2025-04-01,Delivery Delay,32.8,4.1,Yes
TICK000120,CUST039402,2024-12-07,Refund,13.0,3.4,Yes
TICK000121,CUST029558,2024-10-04,Cancellation,54.0,2.1,Yes
TICK000122,CUST034450,2025-10-21,Product Quality,15.2,3.1,Yes
TICK000123,CUST003314,2025-12-22,Refund,26.5,3.7,No
TICK000124,CUST043719,2025-07-02,Refund,14.5,4.2,Yes
TICK000125,CUST042878,2024-07-21,Payment Issue,20.4,5.0,Yes
TICK000126,CUST040779,2025-02-28,Product Information,15.3,4.1,Yes
TICK000127,CUST039448,2025-04-03,Delivery Delay,30.0,5.0,Yes
TICK000128,CUST013362,2025-02-04,Product Quality,9.8,5.0,Yes
TICK000129,CUST031659,2025-04-29,Delivery Delay,10.2,4.5,No
TICK000130,CUST048684,2024-11-30,Delivery Delay,5.3,2.5,Yes
TICK000131,CUST044631,2025-02-17,Cancellation,54.0,4.2,Yes
TICK000132,CUST008996,2024-07-27,Delivery Delay,10.2,3.1,Yes
TICK000133,CUST024627,2025-12-03,Payment Issue,18.5,2.7,Yes
TICK000134,CUST002809,2024-04-06,Product Quality,18.7,2.5,No
TICK000135,CUST037046,2025-11-05,Delivery Delay,18.2,2.9,Yes
TICK000136,CUST024853,2024-11-22,Product Quality,21.7,4.7,Yes
TICK000137,CUST047120,2025-12-01,Account Access,13.4,2.5,Yes
TICK000138,CUST036546,2024-07-25,Delivery Delay,8.6,2.7,Yes
TICK000139,CUST036740,2024-09-13,Delivery Delay,5.2,2.7,No
TICK000140,CUST028617,2025-10-31,Refund,18.9,5.0,Yes
TICK000141,CUST036229,2024-07-03,Payment Issue,5.8,4.1,Yes
TICK000142,CUST029705,2024-09-06,Product Information,7.3,2.6,Yes
TICK000143,CUST008208,2024-07-31,Cancellation,15.7,4.1,Yes
TICK000144,CUST027393,2024-08-14,Product Quality,23.3,2.5,Yes
TICK000145,CUST035647,2024-05-15,Account Access,10.3,4.0,Yes
TICK000146,CUST022530,2024-07-01,Product Information,31.0,3.8,No
TICK000147,CUST022583,2025-10-12,Refund,7.5,1.0,Yes
TICK000148,CUST018022,2024-05-21,Account Access,35.7,4.2,Yes
TICK000149,CUST000341,2025-09-29,Refund,11.5,2.8,Yes
TICK000150,CUST022160,2025-03-11,Cancellation,118.3,3.4,Yes
TICK000151,CUST047617,2025-01-21,Cancellation,6.8,3.7,Yes
TICK000152,CUST011606,2024-02-17,Payment Issue,13.3,4.2,Yes
TICK000153,CUST027258,2024-06-21,Delivery Delay,6.8,3.1,Yes
TICK000154,CUST044783,2024-05-05,Refund,21.5,3.1,Yes
TICK000155,CUST022859,2025-08-18,Delivery Delay,23.1,5.0,Yes
TICK000156,CUST005944,2025-05-15,Product Quality,11.9,2.7,Yes
TICK000157,CUST046697,2025-10-17,Delivery Delay,54.5,4.1,Yes
TICK000158,CUST037773,2025-05-13,Product Information,14.1,4.3,Yes
TICK000159,CUST004665,2024-06-15,Delivery Delay,13.7,3.4,Yes
TICK000160,CUST013233,2025-03-08,Refund,10.1,4.3,Yes
TICK000161,CUST043206,2025-07-08,Delivery Delay,20.9,2.6,Yes
TICK000162,CUST011049,2024-03-02,Product Information,45.2,4.5,Yes
TICK000163,CUST029289,2024-07-20,Delivery Delay,11.8,3.0,Yes
TICK000164,CUST008174,2025-11-01,Delivery Delay,10.1,4.0,No
TICK000165,CUST011796,2025-05-24,Account Access,18.2,5.0,Yes
TICK000166,CUST017294,2024-01-18,Cancellation,30.9,3.6,Yes
TICK000167,CUST034675,2024-10-05,Delivery Delay,37.0,3.9,Yes
TICK000168,CUST016050,2024-03-14,Product Information,25.7,3.2,Yes
TICK000169,CUST047921,2025-08-20,Payment Issue,23.7,2.5,Yes
TICK000170,CUST041610,2025-06-07,Account Access,6.6,2.4,Yes
TICK000171,CUST022972,2024-01-26,Refund,17.1,3.6,Yes
TICK000172,CUST013843,2024-07-08,Product Quality,32.1,2.9,Yes
TICK000173,CUST019060,2024-04-13,Product Quality,7.9,3.6,Yes
TICK000174,CUST038884,2025-12-25,Product Quality,6.6,3.8,Yes
TICK000175,CUST001415,2024-10-29,Refund,16.9,3.4,Yes
TICK000176,CUST003921,2025-02-24,Product Information,6.6,3.9,Yes
TICK000177,CUST038943,2025-08-09,Product Quality,33.7,3.0,Yes
TICK000178,CUST016821,2025-12-25,Product Quality,14.1,2.9,Yes
TICK000179,CUST013064,2025-06-25,Refund,40.9,2.9,Yes
TICK000180,CUST035788,2025-09-24,Payment Issue,25.1,4.9,Yes
TICK000181,CUST020634,2024-10-07,Delivery Delay,25.5,3.1,Yes
TICK000182,CUST024298,2024-10-03,Refund,18.7,4.5,Yes
TICK000183,CUST036638,2025-07-04,Refund,21.0,4.8,Yes
TICK000184,CUST022990,2025-08-14,Product Quality,7.6,4.8,Yes
TICK000185,CUST026563,2024-12-14,Product Information,24.4,3.0,Yes
TICK000186,CUST006585,2024-09-07,Refund,15.7,4.1,Yes
TICK000187,CUST013158,2024-02-01,Delivery Delay,12.5,3.7,Yes
TICK000188,CUST032514,2024-12-12,Delivery Delay,7.5,2.4,Yes
TICK000189,CUST035762,2024-05-02,Payment Issue,12.6,5.0,Yes
TICK000190,CUST049710,2025-02-27,Account Access,13.0,3.4,Yes
TICK000191,CUST044846,2025-06-28,Cancellation,6.0,2.4,Yes
TICK000192,CUST000482,2025-11-13,Account Access,8.9,4.4,Yes
TICK000193,CUST010933,2025-02-18,Refund,16.3,4.0,Yes
TICK000194,CUST018177,2025-12-12,Product Information,52.6,4.2,Yes
TICK000195,CUST009426,2024-10-26,Product Quality,18.1,5.0,Yes
TICK000196,CUST021020,2024-10-03,Refund,11.4,3.6,Yes
TICK000197,CUST034326,2024-06-25,Delivery Delay,23.7,3.8,Yes
TICK000198,CUST037117,2024-02-14,Product Quality,19.9,4.4,Yes
TICK000199,CUST024229,2024-09-22,Payment Issue,10.7,3.1,No
TICK000200,CUST018253,2025-07-14,Product Information,30.9,3.5,Yes
TICK000201,CUST026567,2024-07-25,Payment Issue,4.8,4.4,Yes
TICK000202,CUST035959,2025-07-24,Refund,15.2,2.8,Yes
TICK000203,CUST042148,2024-02-01,Refund,27.1,2.4,Yes
TICK000204,CUST024186,2024-12-23,Delivery Delay,14.8,3.7,Yes
TICK000205,CUST004101,2025-05-25,Delivery Delay,30.8,3.9,Yes
TICK000206,CUST018260,2024-02-04,Cancellation,28.3,4.4,Yes
TICK000207,CUST046663,2024-07-28,Product Quality,10.8,4.0,Yes
TICK000208,CUST025080,2024-01-25,Refund,37.4,4.3,Yes
TICK000209,CUST019986,2024-03-08,Refund,48.8,2.4,Yes
TICK000210,CUST002417,2024-05-09,Payment Issue,13.8,3.4,Yes
TICK000211,CUST000480,2024-07-19,Product Quality,18.9,2.8,Yes
TICK000212,CUST034350,2025-01-15,Delivery Delay,10.3,3.4,Yes
TICK000213,CUST009810,2025-03-05,Delivery Delay,9.2,4.9,Yes
TICK000214,CUST047334,2025-03-17,Cancellation,30.3,3.4,Yes
TICK000215,CUST027715,2025-10-07,Product Information,9.1,4.7,Yes
TICK000216,CUST004147,2025-09-29,Refund,39.9,4.0,Yes
TICK000217,CUST039375,2025-03-30,Delivery Delay,54.3,2.1,Yes
TICK000218,CUST013376,2025-10-17,Product Quality,5.7,5.0,Yes
TICK000219,CUST010444,2025-12-25,Product Information,6.2,3.7,Yes
TICK000220,CUST008099,2025-05-25,Payment Issue,48.4,3.5,Yes
TICK000221,CUST014409,2024-05-08,Refund,8.2,4.7,Yes
TICK000222,CUST019430,2024-06-29,Product Quality,25.6,4.9,Yes
TICK000223,CUST009746,2024-12-13,Account Access,30.3,2.7,Yes
TICK000224,CUST046046,2024-01-12,Refund,8.3,3.2,Yes
TICK000225,CUST025538,2025-08-14,Delivery Delay,13.4,3.4,Yes
TICK000226,CUST038670,2024-04-21,Product Quality,17.8,4.9,Yes
TICK000227,CUST047900,2025-09-03,Product Quality,13.4,4.0,Yes
TICK000228,CUST028204,2024-05-16,Cancellation,41.9,5.0,Yes
TICK000229,CUST047036,2025-01-23,Refund,16.4,3.9,Yes
TICK000230,CUST043622,2024-05-16,Refund,15.8,3.5,Yes
TICK000231,CUST030426,2024-11-17,Refund,16.0,4.0,Yes
TICK000232,CUST000194,2025-02-14,Refund,19.2,1.5,Yes
TICK000233,CUST014705,2025-03-17,Delivery Delay,23.2,3.3,Yes
TICK000234,CUST024156,2025-05-20,Product Information,9.9,4.7,Yes
TICK000235,CUST008088,2025-01-31,Delivery Delay,77.3,3.6,Yes
TICK000236,CUST019316,2025-02-11,Cancellation,23.7,2.6,Yes
TICK000237,CUST019329,2025-08-12,Product Quality,9.3,4.5,Yes
TICK000238,CUST000670,2025-11-27,Cancellation,37.4,2.6,Yes
TICK000239,CUST025424,2024-10-14,Product Quality,44.5,4.3,Yes
TICK000240,CUST034370,2025-03-29,Product Information,18.4,4.8,Yes
TICK000241,CUST014288,2025-04-10,Product Information,31.8,3.5,Yes
TICK000242,CUST045619,2024-04-09,Product Quality,39.9,2.6,Yes
TICK000243,CUST021047,2024-04-25,Product Quality,12.5,2.5,Yes
TICK000244,CUST030076,2024-12-14,Delivery Delay,10.6,3.8,Yes
TICK000245,CUST002890,2025-10-11,Cancellation,8.2,3.9,Yes
TICK000246,CUST027087,2025-08-01,Product Quality,47.2,4.5,Yes
TICK000247,CUST025610,2024-06-28,Delivery Delay,43.3,3.7,Yes
TICK000248,CUST025972,2025-03-01,Delivery Delay,8.0,3.8,Yes
TICK000249,CUST021998,2024-06-07,Product Quality,21.0,4.2,Yes
TICK000250,CUST021935,2025-04-01,Payment Issue,8.9,4.8,Yes
TICK000251,CUST033344,2025-12-11,Account Access,23.7,3.0,Yes
TICK000252,CUST011377,2025-11-17,Payment Issue,21.1,2.4,Yes
TICK000253,CUST008734,2025-09-01,Delivery Delay,35.3,4.0,Yes
TICK000254,CUST027070,2025-08-26,Cancellation,4.4,4.3,Yes
TICK000255,CUST030174,2025-11-19,Delivery Delay,22.1,2.5,Yes
TICK000256,CUST028254,2024-09-10,Refund,45.7,4.2,No
TICK000257,CUST027250,2024-06-26,Cancellation,6.5,4.6,Yes
TICK000258,CUST009016,2025-02-14,Payment Issue,9.8,2.9,Yes
TICK000259,CUST008271,2025-01-04,Payment Issue,26.4,2.7,Yes
TICK000260,CUST040447,2024-08-05,Refund,21.7,4.2,Yes
TICK000261,CUST035074,2024-12-24,Delivery Delay,17.5,5.0,Yes
TICK000262,CUST048882,2025-06-21,Product Information,17.2,3.7,Yes
TICK000263,CUST033005,2025-01-24,Product Quality,27.5,3.7,Yes
TICK000264,CUST016017,2025-01-16,Cancellation,19.5,2.5,Yes
TICK000265,CUST008674,2024-10-01,Account Access,7.6,4.1,Yes
TICK000266,CUST046677,2024-05-30,Delivery Delay,8.8,4.8,Yes
TICK000267,CUST035190,2024-12-14,Account Access,27.7,4.1,Yes
TICK000268,CUST029117,2025-07-12,Delivery Delay,10.1,3.3,Yes
TICK000269,CUST025043,2025-09-27,Refund,11.9,2.8,Yes
TICK000270,CUST006801,2025-05-20,Cancellation,21.5,2.1,Yes
TICK000271,CUST007196,2024-05-11,Product Information,7.9,3.6,Yes
TICK000272,CUST014325,2025-12-16,Refund,27.7,4.2,Yes
TICK000273,CUST010571,2024-01-13,Product Quality,5.5,4.3,Yes
TICK000274,CUST021480,2024-08-12,Cancellation,25.1,2.6,Yes
TICK000275,CUST027996,2024-12-16,Refund,29.7,5.0,Yes
TICK000276,CUST007326,2024-06-24,Product Quality,8.3,2.3,Yes
TICK000277,CUST015759,2024-03-11,Product Quality,8.8,4.9,Yes
TICK000278,CUST031165,2025-08-27,Payment Issue,13.3,4.4,Yes
TICK000279,CUST018745,2024-07-24,Delivery Delay,33.7,3.2,No
TICK000280,CUST026520,2024-01-28,Product Quality,13.1,3.1,Yes
TICK000281,CUST047680,2025-11-27,Product Quality,26.0,1.8,Yes
TICK000282,CUST035323,2024-09-04,Payment Issue,22.0,4.8,Yes
TICK000283,CUST038568,2024-10-16,Delivery Delay,9.3,3.2,Yes
TICK000284,CUST021806,2025-05-04,Account Access,5.6,2.8,Yes
TICK000285,CUST044662,2024-06-15,Refund,33.9,5.0,Yes
TICK000286,CUST016169,2024-09-04,Account Access,16.7,4.8,Yes
TICK000287,CUST010366,2025-09-14,Account Access,15.0,4.6,Yes
TICK000288,CUST011906,2025-10-18,Payment Issue,7.6,4.3,No
TICK000289,CUST008712,2024-09-29,Product Information,59.2,3.9,Yes
TICK000290,CUST016380,2024-02-21,Delivery Delay,15.3,3.5,Yes
TICK000291,CUST012905,2025-01-08,Product Quality,21.9,3.3,Yes
TICK000292,CUST017949,2025-09-28,Delivery Delay,41.2,5.0,No
TICK000293,CUST003206,2025-09-25,Cancellation,9.0,3.4,Yes
TICK000294,CUST042872,2025-05-18,Product Quality,12.5,3.5,Yes
TICK000295,CUST008004,2025-10-28,Cancellation,31.8,4.4,Yes
TICK000296,CUST011761,2024-07-10,Cancellation,16.5,4.4,Yes
TICK000297,CUST010453,2025-07-02,Product Quality,16.2,3.1,Yes
TICK000298,CUST020903,2025-12-13,Refund,10.1,3.5,No
TICK000299,CUST041129,2024-02-06,Product Quality,17.8,5.0,Yes
TICK000300,CUST047684,2025-04-14,Account Access,21.1,4.2,Yes
TICK000301,CUST018476,2025-05-17,Product Quality,29.2,4.7,Yes
TICK000302,CUST036498,2025-04-01,Delivery Delay,18.9,3.2,Yes
TICK000303,CUST024183,2025-03-23,Delivery Delay,18.0,5.0,Yes
TICK000304,CUST000958,2024-06-13,Account Access,6.3,4.0,Yes
TICK000305,CUST009894,2025-09-15,Product Information,31.0,3.2,Yes
TICK000306,CUST044029,2025-02-05,Product Quality,5.9,2.7,Yes
TICK000307,CUST023749,2024-03-30,Account Access,24.0,4.3,Yes
TICK000308,CUST005532,2024-06-25,Product Quality,46.8,3.6,Yes
TICK000309,CUST023613,2024-01-09,Delivery Delay,20.8,3.5,Yes
TICK000310,CUST000565,2024-11-24,Refund,8.4,3.8,Yes
TICK000311,CUST010625,2024-08-28,Product Quality,16.5,3.8,Yes
TICK000312,CUST034956,2025-09-26,Product Information,7.6,3.6,No
TICK000313,CUST028380,2025-02-13,Refund,8.5,3.4,Yes
TICK000314,CUST016744,2025-01-08,Delivery Delay,8.7,2.8,Yes
TICK000315,CUST019851,2025-11-18,Delivery Delay,14.3,5.0,No
TICK000316,CUST046224,2025-10-20,Refund,12.1,4.1,Yes
TICK000317,CUST004178,2025-07-10,Cancellation,18.5,4.0,Yes
TICK000318,CUST022395,2025-11-09,Refund,8.7,2.8,Yes
TICK000319,CUST007083,2024-02-11,Cancellation,13.4,4.4,Yes
TICK000320,CUST049602,2024-11-01,Payment Issue,12.2,4.3,Yes
TICK000321,CUST014741,2024-08-14,Delivery Delay,27.6,3.4,Yes
TICK000322,CUST020574,2025-05-10,Payment Issue,19.2,3.4,Yes
TICK000323,CUST016079,2025-06-26,Delivery Delay,4.7,4.1,Yes
TICK000324,CUST049901,2024-11-21,Account Access,3.3,3.5,Yes
TICK000325,CUST009729,2025-05-22,Delivery Delay,9.3,4.4,Yes
TICK000326,CUST030787,2025-10-06,Refund,36.7,4.1,Yes
TICK000327,CUST014552,2025-09-08,Payment Issue,38.6,4.2,Yes
TICK000328,CUST019488,2024-08-11,Payment Issue,11.5,5.0,Yes
TICK000329,CUST004304,2024-04-04,Product Information,38.2,3.6,Yes
TICK000330,CUST029181,2025-11-12,Product Quality,12.8,4.9,Yes
TICK000331,CUST022411,2025-08-24,Delivery Delay,14.9,3.5,Yes
TICK000332,CUST025494,2024-10-26,Account Access,43.9,4.0,Yes
TICK000333,CUST040134,2024-05-16,Delivery Delay,8.2,4.2,Yes
TICK000334,CUST045808,2024-06-02,Product Quality,11.0,5.0,Yes
TICK000335,CUST024401,2024-01-13,Product Quality,34.1,3.5,Yes
TICK000336,CUST038158,2024-04-27,Refund,27.2,3.1,Yes
TICK000337,CUST030364,2025-01-17,Account Access,7.6,3.2,Yes
TICK000338,CUST015678,2025-12-12,Product Quality,21.6,2.3,Yes
TICK000339,CUST029534,2024-10-07,Account Access,12.1,3.8,Yes
TICK000340,CUST016506,2025-04-11,Refund,7.5,2.0,Yes
TICK000341,CUST007568,2025-01-10,Product Quality,28.4,3.8,Yes
TICK000342,CUST046529,2024-08-07,Product Quality,10.1,3.6,Yes
TICK000343,CUST018720,2025-04-20,Refund,37.1,2.4,Yes
TICK000344,CUST020740,2024-10-19,Delivery Delay,26.9,3.9,Yes
TICK000345,CUST000238,2025-04-25,Refund,4.4,2.9,Yes
TICK000346,CUST001821,2025-04-20,Delivery Delay,32.4,5.0,No
TICK000347,CUST012640,2025-04-03,Product Quality,25.2,4.0,Yes
TICK000348,CUST019825,2025-07-11,Product Quality,16.4,4.9,Yes
TICK000349,CUST041153,2025-01-25,Payment Issue,3.5,4.2,Yes
TICK000350,CUST021404,2024-01-16,Product Quality,28.2,4.4,Yes
TICK000351,CUST011423,2025-05-02,Product Information,26.4,3.9,Yes
TICK000352,CUST046946,2025-04-21,Refund,3.4,5.0,Yes
TICK000353,CUST024627,2025-03-26,Refund,7.0,2.3,No
TICK000354,CUST037671,2024-05-23,Product Information,6.4,2.8,Yes
TICK000355,CUST007697,2025-12-16,Cancellation,39.2,3.0,Yes
TICK000356,CUST040972,2025-06-19,Delivery Delay,21.6,4.1,Yes
TICK000357,CUST005223,2024-07-22,Delivery Delay,21.5,2.8,Yes
TICK000358,CUST028219,2025-10-26,Payment Issue,18.1,3.6,Yes
TICK000359,CUST008915,2025-07-09,Delivery Delay,46.1,3.6,Yes
TICK000360,CUST018032,2024-04-13,Payment Issue,39.6,3.4,Yes
TICK000361,CUST020097,2024-12-25,Product Information,8.6,5.0,Yes
TICK000362,CUST034931,2025-03-23,Refund,40.3,5.0,Yes
TICK000363,CUST010066,2025-06-06,Refund,13.0,2.8,Yes
TICK000364,CUST033795,2025-06-10,Delivery Delay,10.7,4.0,Yes
TICK000365,CUST008873,2025-07-06,Product Quality,14.2,4.0,Yes
TICK000366,CUST040685,2025-11-04,Refund,63.4,4.1,Yes
TICK000367,CUST028068,2025-01-17,Payment Issue,8.8,2.8,Yes
TICK000368,CUST031536,2025-03-24,Cancellation,13.8,5.0,Yes
TICK000369,CUST049542,2024-06-14,Delivery Delay,18.0,4.6,Yes
TICK000370,CUST043121,2025-09-28,Account Access,6.3,3.5,Yes
TICK000371,CUST022449,2025-05-16,Delivery Delay,11.7,3.0,No
TICK000372,CUST018225,2025-08-15,Payment Issue,9.4,3.3,Yes
TICK000373,CUST031255,2024-06-04,Payment Issue,30.4,4.0,Yes
TICK000374,CUST028705,2024-11-24,Delivery Delay,7.9,3.8,Yes
TICK000375,CUST013070,2025-01-23,Account Access,28.8,4.9,Yes
TICK000376,CUST022713,2024-01-18,Delivery Delay,20.5,2.1,Yes
TICK000377,CUST004946,2025-11-28,Product Quality,15.9,3.4,Yes
