order_id,customer_id,order_date,payment_method,shipping_type,order_status,total_amount,discount_amount,shipping_cost
ORD0000086,CUST039919,2025-09-04,Wallet,Express,Completed,12047.15,830.88,155.36
ORD0000087,CUST002276,2024-12-20,UPI,Standard,Completed,2113.79,480.54,91.01
ORD0000088,CUST040932,2025-10-31,UPI,Express,Completed,1426.58,9.73,184.82
ORD0000089,CUST030185,2024-06-22,UPI,Standard,Completed,4032.88,264.64,70.66
ORD0000090,CUST000765,2024-07-28,Credit Card,Standard,Completed,241.22,10.76,70.57
ORD0000091,CUST027306,2025-09-16,Debit Card,Standard,Completed,1047.38,231.44,49.72
ORD0000092,CUST015666,2024-06-10,Debit Card,Standard,Completed,789.19,21.36,41.53
ORD0000093,CUST039890,2025-06-17,Credit Card,Standard,Completed,1293.54,312.57,40.96
ORD0000094,CUST029111,2025-07-22,UPI,Express,Cancelled,601.54,146.46,102.64
ORD0000095,CUST048044,2025-12-28,Debit Card,Express,Completed,8523.4,1852.0,100.38
ORD0000096,CUST040485,2025-07-22,Credit Card,Same Day,Completed,9635.56,960.92,187.94
ORD0000097,CUST019368,2025-07-18,Wallet,Express,Completed,5770.14,634.75,199.5
ORD0000098,CUST033732,2025-01-20,Debit Card,Express,Cancelled,25045.82,1695.83,155.25
ORD0000099,CUST020740,2025-09-14,Credit Card,Standard,Completed,832.77,93.77,58.94
ORD0000100,CUST044273,2024-08-09,Net Banking,Express,Completed,1529.5,407.2,181.42
ORD0000101,CUST047807,2024-01-28,Wallet,Express,Completed,1480.3,40.18,145.77
ORD0000102,CUST039242,2024-05-28,UPI,Express,Completed,1344.32,125.72,113.21
ORD0000103,CUST044141,2025-12-23,Wallet,Same Day,Completed,7690.52,866.34,205.97
ORD0000104,CUST049156,2024-11-13,Net Banking,Express,Completed,1319.14,266.1,127.19
ORD0000105,CUST022198,2024-04-11,COD,Standard,Completed,425.3,72.0,68.46
ORD0000106,CUST033748,2025-02-28,UPI,Standard,Completed,2792.84,223.58,91.82
ORD0000107,CUST031017,2025-01-20,UPI,Standard,Completed,2024.99,429.71,94.42
ORD0000108,CUST014439,2024-02-15,COD,Standard,Completed,1701.17,67.14,52.7
ORD0000109,CUST034945,2024-03-19,UPI,Standard,Completed,1110.86,188.7,53.77
ORD0000110,CUST013240,2025-05-05,COD,Express,Completed,2617.62,77.62,173.74
ORD0000111,CUST041940,2025-09-25,Net Banking,Standard,Completed,2518.48,38.48,63.34
ORD0000112,CUST029533,2025-01-21,UPI,Standard,Completed,2622.13,15.7,65.19
ORD0000113,CUST006654,2025-12-14,UPI,Standard,Completed,465.66,127.39,63.08
ORD0000114,CUST021012,2025-04-26,UPI,Standard,Completed,3258.27,656.88,74.55
ORD0000115,CUST015470,2025-10-13,UPI,Standard,Completed,7232.55,388.5,73.74
ORD0000116,CUST042286,2025-10-26,Credit Card,Express,Cancelled,443.52,97.68,109.6
ORD0000117,CUST042808,2024-02-19,UPI,Standard,Completed,2077.08,290.83,65.22
ORD0000118,CUST027155,2024-02-04,Credit Card,Standard,Completed,16070.27,3172.27,46.93
ORD0000119,CUST016346,2025-12-02,Net Banking,Standard,Completed,8599.78,807.54,90.03
ORD0000120,CUST040742,2025-02-04,UPI,Standard,Completed,5145.1,881.26,75.12
ORD0000121,CUST026783,2025-03-07,Wallet,Express,Returned,8361.68,1511.13,137.25
ORD0000122,CUST007238,2025-07-01,UPI,Standard,Completed,8793.22,296.64,97.45
ORD0000123,CUST032108,2024-04-12,UPI,Same Day,Completed,184.97,20.04,231.98
ORD0000124,CUST033596,2025-11-19,UPI,Standard,Completed,9636.32,1183.76,95.19
ORD0000125,CUST039252,2025-02-14,UPI,Standard,Completed,6344.08,740.62,95.73
ORD0000126,CUST004567,2024-09-26,Credit Card,Express,Completed,1379.05,25.17,123.51
ORD0000127,CUST038960,2025-02-27,Debit Card,Standard,Completed,1261.52,354.78,78.53
ORD0000128,CUST027174,2024-03-30,COD,Standard,Completed,1580.84,65.24,47.89
ORD0000129,CUST001926,2025-01-16,Net Banking,Standard,Completed,312.22,53.92,64.33
ORD0000130,CUST027680,2024-03-24,UPI,Express,Returned,56613.88,11194.39,156.27
ORD0000131,CUST039699,2025-03-02,Debit Card,Standard,Completed,4117.8,0.0,50.9
ORD0000132,CUST024561,2025-02-17,Credit Card,Same Day,Completed,2353.72,458.08,337.16
ORD0000133,CUST039542,2025-11-11,Debit Card,Standard,Completed,34153.59,1120.2,76.64
ORD0000134,CUST037470,2025-07-07,Credit Card,Standard,Completed,2808.38,105.75,86.37
ORD0000135,CUST035330,2024-03-26,Wallet,Standard,Completed,429.28,47.28,85.71
ORD0000136,CUST018574,2024-11-06,Credit Card,Standard,Completed,12543.78,1104.75,66.62
ORD0000137,CUST039052,2024-06-14,UPI,Standard,Cancelled,363.59,97.71,51.52
ORD0000138,CUST009043,2024-01-30,COD,Express,Completed,5415.96,346.38,170.74
ORD0000139,CUST046358,2024-05-31,Net Banking,Standard,Cancelled,2270.82,168.17,43.29
ORD0000140,CUST016287,2025-10-07,UPI,Express,Completed,6978.01,933.05,101.24
ORD0000141,CUST048497,2024-03-11,Credit Card,Express,Completed,257.36,21.11,155.89
ORD0000142,CUST012463,2025-12-26,Credit Card,Standard,Completed,20201.22,1693.5,46.33
ORD0000143,CUST034477,2024-08-09,Credit Card,Express,Completed,4106.53,690.33,106.51
ORD0000144,CUST002194,2024-11-06,UPI,Express,Completed,3531.77,252.35,139.16
ORD0000145,CUST021667,2024-05-20,Debit Card,Same Day,Returned,5213.79,1255.02,305.32
ORD0000146,CUST001723,2024-03-24,Net Banking,Standard,Completed,2233.42,236.45,68.07
ORD0000147,CUST011430,2025-04-10,Debit Card,Standard,Completed,2093.8,366.02,63.42
ORD0000148,CUST049858,2024-04-03,Credit Card,Standard,Completed,1947.9,238.91,64.89
ORD0000149,CUST001012,2025-06-09,UPI,Standard,Completed,8810.39,494.84,84.51
ORD0000150,CUST018336,2024-08-10,Credit Card,Standard,Completed,3992.47,344.8,84.27
ORD0000151,CUST000001,2024-08-19,COD,Standard,Completed,1268.22,176.98,64.22
ORD0000152,CUST029761,2025-05-06,COD,Standard,Completed,12457.13,1698.42,95.99
ORD0000153,CUST022164,2025-12-08,Credit Card,Standard,Completed,24217.22,4757.88,99.93
ORD0000154,CUST034844,2025-01-02,UPI,Standard,Completed,1496.05,176.18,91.06
ORD0000155,CUST043230,2025-01-14,Debit Card,Express,Completed,970.85,65.3,103.12
ORD0000156,CUST005534,2024-01-03,Credit Card,Express,Completed,6783.42,1336.22,185.46
ORD0000157,CUST034666,2024-08-30,Credit Card,Standard,Completed,14515.76,2914.81,87.7
ORD0000158,CUST042767,2024-10-15,Credit Card,Standard,Completed,26541.09,1810.26,68.95
ORD0000159,CUST016387,2025-02-04,Credit Card,Express,Returned,407.4,98.86,161.13
ORD0000160,CUST011464,2025-04-02,Credit Card,Express,Completed,6205.92,1224.56,112.09
ORD0000161,CUST014140,2024-08-24,Credit Card,Express,Completed,1339.56,245.97,198.17
ORD0000162,CUST035600,2025-03-14,Debit Card,Express,Completed,2937.63,445.71,151.91
ORD0000163,CUST015048,2025-10-22,UPI,Express,Completed,290.12,28.66,194.03
ORD0000164,CUST014727,2025-08-15,UPI,Express,Completed,5797.43,540.21,130.57
ORD0000165,CUST014132,2024-10-24,Net Banking,Standard,Completed,4396.13,169.17,73.27
ORD0000166,CUST017338,2024-10-23,UPI,Standard,Returned,1615.95,85.77,66.13
ORD0000167,CUST040109,2025-04-25,Credit Card,Express,Completed,3720.3,596.82,194.51
ORD0000168,CUST043056,2024-07-07,Debit Card,Standard,Completed,4254.44,425.7,99.92
ORD0000169,CUST045592,2025-10-11,Wallet,Express,Cancelled,5007.6,0.0,193.28
ORD0000170,CUST029087,2024-10-10,Net Banking,Express,Completed,11214.28,1574.32,171.1
ORD0000171,CUST036375,2024-04-30,Debit Card,Standard,Completed,3040.89,22.66,97.51
ORD0000172,CUST025890,2025-08-05,UPI,Express,Completed,1371.67,93.32,109.47
ORD0000173,CUST021181,2024-06-06,Net Banking,Express,Completed,6638.35,787.33,91.94
ORD0000174,CUST044340,2025-11-28,Credit Card,Express,Cancelled,989.46,79.52,198.78
ORD0000175,CUST034265,2025-04-30,Credit Card,Same Day,Completed,5703.51,1448.95,284.11
ORD0000176,CUST005171,2024-08-08,UPI,Standard,Completed,4939.44,1266.21,97.66
ORD0000177,CUST040253,2024-12-02,Net Banking,Express,Completed,5697.4,256.55,123.74
ORD0000178,CUST023308,2024-10-04,UPI,Same Day,Completed,1593.95,130.71,342.08
ORD0000179,CUST028770,2024-08-24,UPI,Standard,Completed,2250.38,232.16,65.8
ORD0000180,CUST044271,2025-06-23,Credit Card,Standard,Completed,1096.25,106.75,61.33
ORD0000181,CUST004419,2024-10-11,Net Banking,Standard,Completed,23836.0,3292.72,78.03
ORD0000182,CUST023292,2024-09-24,Debit Card,Standard,Completed,1412.74,173.63,74.11
ORD0000183,CUST045952,2024-02-14,Credit Card,Standard,Completed,4935.44,551.19,88.24
ORD0000184,CUST000831,2024-08-06,Net Banking,Standard,Completed,1988.29,510.43,90.96
ORD0000185,CUST031717,2025-04-13,Debit Card,Standard,Completed,9727.82,94.72,52.48
ORD0000186,CUST021295,2025-09-14,Credit Card,Standard,Completed,1125.78,16.22,68.56
ORD0000187,CUST042132,2025-11-19,UPI,Standard,Completed,5179.8,783.9,95.7
ORD0000188,CUST031754,2025-06-21,Credit Card,Express,Completed,2377.36,0.0,121.15
ORD0000189,CUST048138,2024-12-02,Debit Card,Standard,Completed,6267.66,1127.58,48.64
ORD0000190,CUST048545,2024-11-07,Credit Card,Express,Completed,747.86,79.95,161.55
ORD0000191,CUST019687,2024-02-28,UPI,Express,Completed,4377.51,674.62,110.05
ORD0000192,CUST016951,2024-01-21,Debit Card,Standard,Completed,1114.36,96.11,86.25
ORD0000193,CUST035051,2024-03-28,Credit Card,Standard,Completed,3672.44,115.1,82.54
ORD0000194,CUST022504,2024-04-25,Credit Card,Express,Completed,3333.54,393.66,121.5
ORD0000195,CUST034443,2024-09-01,UPI,Express,Cancelled,919.7,153.18,152.64
ORD0000196,CUST019990,2024-04-28,UPI,Standard,Completed,11759.58,2642.34,41.71
ORD0000197,CUST030325,2025-03-23,Net Banking,Standard,Completed,7605.79,1800.04,99.61
ORD0000198,CUST043099,2024-11-17,Net Banking,Standard,Completed,6462.62,44.5,70.53
ORD0000199,CUST045813,2025-10-24,UPI,Standard,Completed,2466.23,9.29,65.67
ORD0000200,CUST040829,2024-09-22,UPI,Express,Completed,4334.72,619.67,173.72
ORD0000201,CUST011767,2025-05-19,Credit Card,Standard,Completed,692.61,33.1,89.28
ORD0000202,CUST043088,2024-02-22,UPI,Standard,Completed,3336.52,209.15,85.42
ORD0000203,CUST017393,2025-04-26,Debit Card,Standard,Completed,2791.96,553.24,53.88
ORD0000204,CUST036579,2025-02-19,Debit Card,Standard,Completed,10684.08,1863.48,61.74
ORD0000205,CUST001877,2024-02-21,Credit Card,Express,Completed,5003.08,203.18,175.98
ORD0000206,CUST002384,2025-09-30,Credit Card,Standard,Completed,2772.25,411.09,80.36
ORD0000207,CUST004940,2024-06-27,Credit Card,Standard,Returned,722.05,0.0,79.93
ORD0000208,CUST023421,2025-06-24,UPI,Standard,Completed,8993.73,481.68,89.01
ORD0000209,CUST047739,2025-02-03,Net Banking,Express,Completed,2791.31,514.2,120.03
ORD0000210,CUST007611,2024-08-03,UPI,Same Day,Completed,11769.39,1185.94,326.3
ORD0000211,CUST011898,2024-12-12,UPI,Standard,Cancelled,4120.5,778.46,75.71
ORD0000212,CUST028983,2025-11-01,UPI,Standard,Completed,3472.47,617.37,62.99
ORD0000213,CUST036841,2025-06-06,UPI,Same Day,Completed,915.76,111.06,296.07
ORD0000214,CUST039354,2025-07-28,Debit Card,Express,Completed,9828.37,1810.94,186.94
ORD0000215,CUST009330,2024-02-26,UPI,Express,Completed,443.82,89.19,108.99
ORD0000216,CUST034855,2025-06-25,Credit Card,Express,Completed,605.33,0.0,181.75
ORD0000217,CUST004845,2024-04-10,Wallet,Express,Completed,2639.72,355.27,180.27
ORD0000218,CUST007786,2025-03-27,UPI,Standard,Completed,212.08,33.86,65.43
ORD0000219,CUST020028,2025-06-11,Debit Card,Standard,Completed,5508.77,1040.15,45.81
ORD0000220,CUST013336,2024-05-02,COD,Express,Completed,6826.51,1056.81,103.86
ORD0000221,CUST030445,2025-04-24,UPI,Standard,Completed,6426.27,201.16,72.74
ORD0000222,CUST013752,2024-05-08,COD,Standard,Returned,3843.44,1056.68,85.47
ORD0000223,CUST009335,2025-06-18,Debit Card,Standard,Completed,233.73,26.69,79.04
ORD0000224,CUST043275,2025-01-07,UPI,Standard,Cancelled,20577.12,2072.62,66.34
ORD0000225,CUST035700,2024-01-02,Wallet,Standard,Completed,5780.32,1428.09,83.8
ORD0000226,CUST024740,2025-01-07,Debit Card,Standard,Completed,5606.29,257.72,61.78
ORD0000227,CUST015709,2024-07-18,Debit Card,Same Day,Completed,224.21,44.03,280.37
ORD0000228,CUST019843,2024-02-16,Net Banking,Standard,Completed,388.67,57.95,54.75
ORD0000229,CUST020191,2024-03-22,Wallet,Express,Completed,3052.73,697.44,194.84
ORD0000230,CUST042886,2025-03-22,UPI,Standard,Completed,5333.97,170.1,44.27
ORD0000231,CUST022172,2024-12-05,UPI,Express,Completed,16051.05,2686.23,127.46
ORD0000232,CUST023884,2025-05-09,Debit Card,Express,Completed,3608.01,416.56,165.0
ORD0000233,CUST020342,2024-08-21,UPI,Standard,Completed,6231.12,1603.42,76.4
ORD0000234,CUST014734,2025-04-10,Credit Card,Express,Completed,27824.28,2244.98,97.98
ORD0000235,CUST044781,2024-11-22,Debit Card,Express,Completed,1403.34,80.82,131.58
ORD0000236,CUST010068,2025-09-27,UPI,Express,Completed,4441.33,235.23,198.8
ORD0000237,CUST013702,2024-08-10,Credit Card,Express,Completed,11106.41,352.05,129.41
ORD0000238,CUST003650,2024-08-13,UPI,Standard,Completed,4300.69,881.58,99.86
ORD0000239,CUST046453,2025-05-23,Credit Card,Express,Completed,3018.96,0.0,109.93
ORD0000240,CUST018574,2025-08-03,Debit Card,Standard,Completed,11562.79,1484.29,54.92
ORD0000241,CUST022344,2024-10-19,Credit Card,Express,Cancelled,1363.76,286.3,90.66
ORD0000242,CUST042271,2024-03-20,COD,Standard,Completed,6624.85,391.08,66.98
ORD0000243,CUST047747,2025-09-15,UPI,Standard,Completed,2801.14,324.18,63.25
ORD0000244,CUST030611,2025-10-24,Credit Card,Express,Completed,775.83,3.63,94.55
ORD0000245,CUST033712,2025-01-30,COD,Same Day,Completed,16589.38,1317.73,335.36
ORD0000246,CUST039348,2025-02-17,Credit Card,Same Day,Completed,3938.51,114.03,214.97
ORD0000247,CUST048617,2024-05-15,UPI,Standard,Completed,8133.14,1273.31,89.97
ORD0000248,CUST010459,2025-05-09,Credit Card,Express,Completed,1478.06,42.42,176.27
ORD0000249,CUST030013,2025-10-02,UPI,Standard,Completed,6149.79,960.7,86.8
ORD0000250,CUST019403,2024-05-17,COD,Express,Returned,10352.65,1519.42,160.39
ORD0000251,CUST036026,2024-03-07,UPI,Standard,Completed,5700.09,759.67,47.63
ORD0000252,CUST007491,2025-08-14,Net Banking,Same Day,Completed,5023.24,961.39,310.5
ORD0000253,CUST011201,2024-02-22,Credit Card,Standard,Completed,1031.9,202.7,65.59
ORD0000254,CUST004726,2025-01-12,Net Banking,Standard,Completed,2622.15,331.92,87.03
ORD0000255,CUST001450,2025-04-30,Debit Card,Standard,Completed,1390.97,10.91,59.75
ORD0000256,CUST000875,2024-06-11,UPI,Express,Completed,3625.35,783.69,155.04
ORD0000257,CUST001101,2025-05-22,Credit Card,Standard,Completed,2112.12,594.52,40.78
ORD0000258,CUST007670,2024-11-09,Credit Card,Standard,Completed,9366.74,1848.07,64.17
ORD0000259,CUST029006,2025-05-04,Debit Card,Standard,Completed,1511.09,282.97,44.47
ORD0000260,CUST030590,2025-05-17,Debit Card,Standard,Completed,3241.06,359.31,64.71
ORD0000261,CUST049015,2024-11-03,UPI,Standard,Completed,774.31,55.65,72.01
ORD0000262,CUST046342,2024-12-25,Credit Card,Standard,Completed,5710.17,331.5,84.51
ORD0000263,CUST005718,2025-04-14,Debit Card,Standard,Completed,2532.29,151.84,85.28
ORD0000264,CUST012237,2025-03-09,Net Banking,Express,Completed,17522.12,2065.34,198.26
ORD0000265,CUST046638,2025-04-08,Credit Card,Standard,Returned,6917.53,0.0,98.61
ORD0000266,CUST007315,2024-06-22,UPI,Standard,Completed,8771.89,1567.63,85.55
ORD0000267,CUST048521,2025-03-01,Wallet,Express,Completed,7182.55,387.31,173.89
ORD0000268,CUST008834,2024-05-17,Debit Card,Standard,Completed,9177.49,1052.56,59.99
ORD0000269,CUST002867,2025-08-17,Credit Card,Express,Completed,8840.85,1275.19,161.36
ORD0000270,CUST035952,2024-07-08,COD,Standard,Completed,4093.26,649.49,53.13
ORD0000271,CUST035459,2025-03-27,Credit Card,Standard,Completed,1102.46,261.52,44.39
ORD0000272,CUST004965,2025-12-29,Credit Card,Standard,Completed,14278.07,385.24,64.54
ORD0000273,CUST028453,2025-03-02,UPI,Standard,Completed,7932.32,898.59,57.05
ORD0000274,CUST016159,2024-02-22,Wallet,Express,Completed,3995.79,502.24,189.65
ORD0000275,CUST041896,2025-01-07,UPI,Standard,Completed,4351.91,441.9,64.44
ORD0000276,CUST030916,2025-11-02,Credit Card,Standard,Completed,1549.69,313.07,49.27
ORD0000277,CUST023443,2025-06-03,UPI,Standard,Completed,712.03,120.03,96.42
ORD0000278,CUST001087,2024-06-05,Credit Card,Standard,Completed,8821.59,624.83,53.85
ORD0000279,CUST010480,2025-04-30,Net Banking,Standard,Completed,2138.76,505.96,68.07
ORD0000280,CUST003307,2024-04-09,UPI,Standard,Completed,4538.42,578.95,71.6
ORD0000281,CUST031943,2025-07-19,Debit Card,Standard,Completed,7903.37,1547.08,99.72
ORD0000282,CUST012320,2024-11-20,Wallet,Standard,Returned,7887.82,1279.66,88.53
ORD0000283,CUST011552,2024-03-23,COD,Standard,Completed,1164.07,226.1,54.69
ORD0000284,CUST001600,2025-12-02,Wallet,Standard,Completed,6131.06,1238.7,95.42
ORD0000285,CUST016166,2025-06-07,Debit Card,Express,Cancelled,8266.21,475.81,130.02
ORD0000286,CUST005876,2024-03-18,Credit Card,Standard,Completed,4276.99,844.52,87.32
ORD0000287,CUST033272,2025-12-23,Credit Card,Standard,Completed,2902.27,244.2,65.66
ORD0000288,CUST043941,2024-03-03,Credit Card,Standard,Completed,179.32,2.21,89.76
ORD0000289,CUST018368,2024-09-30,Net Banking,Express,Completed,1002.03,161.1,171.97
ORD0000290,CUST027947,2024-06-11,COD,Express,Completed,24551.77,2134.53,186.41
ORD0000291,CUST008620,2024-04-21,UPI,Standard,Completed,29918.14,2858.78,67.63
ORD0000292,CUST031796,2024-07-18,Credit Card,Standard,Completed,5848.14,169.0,52.83
ORD0000293,CUST035552,2024-12-18,Net Banking,Express,Completed,1875.03,117.89,120.26
ORD0000294,CUST020430,2025-09-10,Debit Card,Same Day,Completed,4595.74,0.0,228.84
ORD0000295,CUST003161,2025-11-25,UPI,Standard,Completed,7820.12,100.84,91.12
ORD0000296,CUST037563,2025-12-20,Debit Card,Standard,Completed,2243.79,423.57,47.34
ORD0000297,CUST011102,2024-04-17,COD,Standard,Completed,3545.07,814.99,58.93
ORD0000298,CUST033401,2024-12-29,UPI,Standard,Completed,4126.19,747.95,44.3
ORD0000299,CUST007036,2024-05-30,UPI,Express,Completed,2464.43,536.41,116.67
ORD0000300,CUST035860,2025-04-23,Credit Card,Standard,Returned,2350.65,340.18,45.64
ORD0000301,CUST014872,2025-12-03,Credit Card,Express,Cancelled,1451.44,187.26,101.16
ORD0000302,CUST047860,2024-11-28,Net Banking,Standard,Completed,16267.51,1657.15,89.43
